,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
114,laguna,MX,90.0,2018-11-26,31.0,27.52,-110.01,78.8,4.7
115,mount gambier,AU,92.0,2018-11-26,88.0,-37.83,140.78,58.38,4.63
116,williams lake,CA,90.0,2018-11-26,85.0,52.13,-122.14,39.2,19.46
117,samarai,PG,0.0,2018-11-26,97.0,-10.62,150.67,84.17,4.97
118,ahuimanu,US,20.0,2018-11-26,84.0,21.44,-157.84,84.92,6.93
119,sobolevo,RU,20.0,2018-11-26,74.0,54.43,31.9,11.81,7.65
120,dikson,RU,48.0,2018-11-26,100.0,73.51,80.55,-2.19,5.64
121,porto novo,BR,75.0,2018-11-26,77.0,-23.68,-45.44,66.2,11.41
122,castro,CL,0.0,2018-11-26,71.0,-42.48,-73.76,53.66,7.65
123,tiksi,RU,24.0,2018-11-26,46.0,71.64,128.87,-28.47,2.73
124,esperance,TT,20.0,2018-11-26,78.0,10.24,-61.45,80.6,4.7
125,port elizabeth,US,90.0,2018-11-26,93.0,39.31,-74.98,57.02,11.41
126,plettenberg bay,ZA,92.0,2018-11-26,100.0,-34.05,23.37,63.74,7.43
127,chokurdakh,RU,68.0,2018-11-26,62.0,70.62,147.9,-12.86,3.85
128,arraial do cabo,BR,92.0,2018-11-26,100.0,-22.97,-42.02,71.12,6.2
129,tombouctou,ML,76.0,2018-11-26,32.0,16.77,-3.01,73.64,6.98
130,guerrero negro,MX,68.0,2018-11-26,48.0,27.97,-114.04,73.46,4.74
131,tual,ID,56.0,2018-11-26,100.0,-5.67,132.75,85.07,7.99
132,yantal,RU,48.0,2018-11-26,63.0,56.85,105.25,8.16,4.29
133,goderich,CA,92.0,2018-11-26,100.0,43.74,-81.71,36.47,20.18
134,bredasdorp,ZA,92.0,2018-11-26,88.0,-34.53,20.04,66.2,5.82
135,kapaa,US,1.0,2018-11-26,62.0,22.08,-159.32,82.94,16.11
136,port hardy,CA,90.0,2018-11-26,93.0,50.7,-127.42,48.2,23.04
137,autazes,BR,12.0,2018-11-26,91.0,-3.58,-59.13,79.35,1.95
138,grass valley,US,20.0,2018-11-26,63.0,39.22,-121.06,64.04,3.36
139,yelizovo,RU,20.0,2018-11-26,49.0,53.19,158.38,26.6,24.61
140,la ronge,CA,90.0,2018-11-26,78.0,55.1,-105.3,15.8,14.99
141,rio gallegos,AR,0.0,2018-11-26,31.0,-51.62,-69.22,60.8,23.04
142,muros,ES,40.0,2018-11-26,93.0,42.77,-9.06,42.8,6.93
143,bluff,AU,20.0,2018-11-26,21.0,-23.58,149.07,95.69,3.62
144,saint george,GR,40.0,2018-11-26,71.0,39.45,22.34,57.2,3.36
145,bad doberan,DE,75.0,2018-11-26,82.0,54.11,11.9,33.8,2.24
146,tura,IN,0.0,2018-11-26,86.0,25.52,90.21,56.81,2.39
147,yar-sale,RU,32.0,2018-11-26,90.0,66.83,70.83,-20.42,8.77
148,barranca,PE,48.0,2018-11-26,100.0,-10.75,-77.76,64.28,9.44
149,boyolangu,ID,20.0,2018-11-26,94.0,-8.09,111.9,74.18,3.96
150,diamantino,BR,68.0,2018-11-26,92.0,-14.4,-56.44,75.17,4.63
151,clyde river,CA,5.0,2018-11-26,75.0,70.47,-68.59,-16.61,4.18
152,mocuba,MZ,20.0,2018-11-26,91.0,-16.84,36.99,73.23,3.74
153,hermosillo,MX,75.0,2018-11-26,25.0,29.09,-110.96,86.0,3.06
154,vanimo,PG,24.0,2018-11-26,100.0,-2.67,141.3,82.05,7.54
155,saskylakh,RU,48.0,2018-11-26,45.0,71.97,114.09,-28.34,3.4
156,malaya serdoba,RU,76.0,2018-11-26,92.0,52.47,44.96,23.55,4.85
157,jinchang,CN,8.0,2018-11-26,63.0,38.52,102.19,14.1,3.4
158,rodeo,MX,24.0,2018-11-26,47.0,25.18,-104.56,55.19,4.52
159,bambous virieux,MU,75.0,2018-11-26,94.0,-20.34,57.76,77.0,16.11
160,usinsk,RU,80.0,2018-11-26,84.0,66.0,57.56,2.72,3.96
161,fairbanks,US,90.0,2018-11-26,93.0,64.84,-147.72,28.04,6.08
162,eldoret,KE,75.0,2018-11-26,76.0,0.52,35.27,57.2,13.87
163,las vegas,US,1.0,2018-11-26,12.0,36.17,-115.15,60.98,11.41
164,fort nelson,CA,90.0,2018-11-26,92.0,58.81,-122.69,12.2,2.24
165,vila,IT,75.0,2018-11-26,87.0,45.18,8.4,46.4,3.36
166,biak,ID,44.0,2018-11-26,92.0,-0.91,122.88,81.15,1.39
167,kaitangata,NZ,0.0,2018-11-26,78.0,-46.28,169.85,58.43,19.17
168,hokitika,NZ,12.0,2018-11-26,73.0,-42.72,170.96,64.68,3.18
169,hamilton,BM,40.0,2018-11-26,73.0,32.3,-64.78,69.8,6.93
170,chiredzi,ZW,56.0,2018-11-26,92.0,-21.05,31.67,73.68,6.76
171,kushima,JP,75.0,2018-11-26,93.0,31.5,131.29,57.2,4.7
172,coolum beach,AU,8.0,2018-11-26,62.0,-26.53,153.09,82.46,7.09
173,huarmey,PE,0.0,2018-11-26,69.0,-10.07,-78.15,65.31,3.29
174,caravelas,BR,36.0,2018-11-26,100.0,-17.73,-39.27,76.38,12.68
175,thompson,CA,20.0,2018-11-26,77.0,55.74,-97.86,6.8,5.82
176,khasan,RU,88.0,2018-11-26,100.0,42.43,130.64,38.76,16.82
177,richards bay,ZA,80.0,2018-11-26,93.0,-28.77,32.06,71.12,2.62
178,manta,RO,92.0,2018-11-26,99.0,45.1,24.1,37.95,2.84
179,imbituba,BR,75.0,2018-11-26,68.0,-28.24,-48.67,71.6,5.82
180,lasa,CY,75.0,2018-11-26,72.0,34.92,32.53,62.6,9.17
181,chama,ZM,0.0,2018-11-26,63.0,-11.22,33.16,72.29,8.1
182,atambua,ID,80.0,2018-11-26,100.0,-9.11,124.89,79.53,4.85
183,coahuayana,MX,0.0,2018-11-26,42.0,18.62,-100.35,76.52,2.17
184,provideniya,RU,20.0,2018-11-26,66.0,64.42,-173.23,15.8,8.95
185,shubarkuduk,KZ,80.0,2018-11-26,88.0,49.15,56.49,24.95,10.78
186,port lincoln,AU,88.0,2018-11-26,100.0,-34.72,135.86,59.01,14.25
187,ancud,CL,0.0,2018-11-26,65.0,-41.87,-73.83,56.09,6.53
188,galeras,CO,48.0,2018-11-26,90.0,9.16,-75.05,78.95,9.89
189,severo-kurilsk,RU,80.0,2018-11-26,100.0,50.68,156.12,32.46,17.27
190,paracatu,BR,56.0,2018-11-26,94.0,-17.22,-46.87,70.22,4.74
191,port alfred,ZA,88.0,2018-11-26,93.0,-33.59,26.89,68.51,10.67
192,new norfolk,AU,75.0,2018-11-26,77.0,-42.78,147.06,59.0,5.82
193,lazaro cardenas,MX,90.0,2018-11-26,53.0,28.39,-105.62,55.4,6.93
194,cabo san lucas,MX,20.0,2018-11-26,69.0,22.89,-109.91,77.0,6.93
195,itanagar,IN,0.0,2018-11-26,85.0,27.1,93.63,49.65,1.95
196,gombe,NG,8.0,2018-11-26,49.0,10.28,11.17,66.66,4.41
197,naze,NG,40.0,2018-11-26,94.0,5.43,7.07,77.0,4.97
198,jiquilpan,MX,40.0,2018-11-26,74.0,19.78,-103.78,78.8,1.95
199,high level,CA,90.0,2018-11-26,100.0,58.52,-117.13,24.8,9.17
200,ust-kuyga,RU,20.0,2018-11-26,0.0,70.0,135.55,-39.14,1.16
201,salym,RU,88.0,2018-11-26,86.0,60.06,71.48,0.06,5.53
202,kearney,US,90.0,2018-11-26,87.0,40.7,-99.08,32.9,4.7
203,puerto madero,AR,0.0,2018-11-26,48.0,-34.61,-58.36,82.4,10.29
204,basoko,CD,36.0,2018-11-26,94.0,1.23,23.61,73.1,4.85
205,dudinka,RU,0.0,2018-11-26,70.0,69.41,86.18,-15.69,3.62
206,baykit,RU,48.0,2018-11-26,75.0,61.68,96.39,-8.0,2.84
207,nanga eboko,CM,44.0,2018-11-26,95.0,4.68,12.37,69.41,5.64
208,zhuhai,CN,0.0,2018-11-26,47.0,40.71,112.04,12.2,8.95
209,ulladulla,AU,75.0,2018-11-26,68.0,-35.36,150.48,68.0,5.82
210,mutoko,ZW,8.0,2018-11-26,94.0,-17.4,32.23,65.54,2.62
211,nouakchott,MR,92.0,2018-11-26,86.0,18.08,-15.98,72.29,13.69
212,mayo,CA,75.0,2018-11-26,74.0,63.59,-135.9,37.4,17.22
213,bilibino,RU,32.0,2018-11-26,0.0,68.06,166.44,-38.82,2.28
214,rawson,AR,0.0,2018-11-26,29.0,-43.3,-65.11,68.24,14.58
215,poiana blenchii,RO,92.0,2018-11-26,93.0,47.31,23.75,46.4,3.36
216,prado,BR,32.0,2018-11-26,100.0,-17.34,-39.22,77.24,11.01
217,galesong,ID,20.0,2018-11-26,88.0,-5.32,119.37,77.0,4.7
218,adamantina,BR,44.0,2018-11-26,62.0,-21.69,-51.08,80.12,14.03
219,gambela,ET,76.0,2018-11-26,90.0,8.25,34.59,62.3,3.4
220,bandarbeyla,SO,92.0,2018-11-26,100.0,9.49,50.81,77.46,9.66
221,porto nacional,BR,75.0,2018-11-26,88.0,-10.7,-48.41,77.0,10.29
222,carballo,ES,0.0,2018-11-26,87.0,43.21,-8.69,46.4,4.7
223,matara,PE,92.0,2018-11-26,98.0,-13.74,-72.9,45.92,2.06
